"hw_id","type","timing","value"
D0_0_0,[0]tgr_egr_crd_buf,100,9e-05
D0_0_0,[3]tgr_egr_bnc_buf,100,0.00131
D0_0_0,[2]tgr_egr_bnc_buf,100,0.0774
D0_0_0,[3]tgr_igr_bnc_buf,100,0.00118
D0_0_0,A0[3]agent_igr_bnc_buf,100,0.01764
D0_0_1,[3]tgr_egr_bnc_buf,100,0.0089
D0_0_1,[2]tgr_egr_bnc_buf,100,0.53345
D0_0_1,[2]tgr_igr_crd_buf,100,0.01231
D0_0_1,[3]tgr_igr_bnc_buf,100,0.00354
D0_0_1,A0[2]agent_egr_buf,100,0.03385
D0_0_1,A0[3]agent_igr_bnc_buf,100,0.0024
D0_0_2,[0]tgr_egr_crd_buf,100,0.00071
D0_0_2,[3]tgr_egr_bnc_buf,100,0.00137
D0_0_2,[2]tgr_egr_bnc_buf,100,0.60752
D0_0_2,A1[0]agent_igr_crd_buf,100,0.00014
D0_0_2,[2]tgr_igr_crd_buf,100,0.0157
D0_0_2,[3]tgr_igr_bnc_buf,100,0.00236
D0_0_2,A0[0]agent_egr_buf,100,0.01777
D0_0_2,A0[2]agent_egr_buf,100,0.02515
D0_0_2,A1[3]agent_egr_buf,100,0.0332
D0_0_2,A1[4]agent_egr_buf,100,0.00854
D0_0_2,A0[3]agent_igr_bnc_buf,100,0.0024
D0_0_2,A1[2]agent_igr_bnc_buf,100,0.05922
D0_0_3,[0]tgr_egr_crd_buf,100,0.08041
D0_0_3,[3]tgr_egr_bnc_buf,100,0.00321
D0_0_3,[2]tgr_egr_bnc_buf,100,0.57765
D0_0_3,[2]tgr_igr_crd_buf,100,0.00705
D0_0_3,[3]tgr_igr_bnc_buf,100,0.00177
D0_0_3,A0[2]agent_egr_buf,100,0.03073
D0_0_3,A0[3]agent_igr_bnc_buf,100,0.00248
D0_0_4,[0]tgr_egr_crd_buf,100,0.01758
D0_0_4,[3]tgr_egr_bnc_buf,100,0.00329
