"hw_id","type","timing","value"
D0_0_0,[0]tgr_egr_crd_buf,100,9e-05
D0_0_0,[3]tgr_egr_bnc_buf,100,6e-05
D0_0_0,[2]tgr_egr_bnc_buf,100,0.1636
D0_0_0,[3]tgr_igr_bnc_buf,100,0.00118
D0_0_0,A0[3]agent_igr_bnc_buf,100,0.01512
D0_0_1,[3]tgr_egr_bnc_buf,100,0.00385
D0_0_1,[2]tgr_egr_bnc_buf,100,0.47093
D0_0_1,[2]tgr_igr_crd_buf,100,0.01222
D0_0_1,[3]tgr_igr_bnc_buf,100,0.00236
D0_0_1,A0[2]agent_egr_buf,100,0.02459
D0_0_1,A0[3]agent_igr_bnc_buf,100,0.002
D0_0_2,[0]tgr_egr_crd_buf,100,0.00071
D0_0_2,[3]tgr_egr_bnc_buf,100,0.00386
D0_0_2,[2]tgr_egr_bnc_buf,100,0.55749
D0_0_2,A1[0]agent_igr_crd_buf,100,0.00014
D0_0_2,[2]tgr_igr_crd_buf,100,0.01488
D0_0_2,[3]tgr_igr_bnc_buf,100,0.00236
D0_0_2,A0[0]agent_egr_buf,100,0.01533
D0_0_2,A0[2]agent_egr_buf,100,0.02332
D0_0_2,A1[3]agent_egr_buf,100,0.0332
D0_0_2,A1[4]agent_egr_buf,100,0.00854
D0_0_2,A0[3]agent_igr_bnc_buf,100,0.00208
D0_0_2,A1[2]agent_igr_bnc_buf,100,0.05733
D0_0_3,[0]tgr_egr_crd_buf,100,0.06542
D0_0_3,[3]tgr_egr_bnc_buf,100,3e-05
D0_0_3,[2]tgr_egr_bnc_buf,100,0.53248
D0_0_3,[2]tgr_igr_crd_buf,100,0.00834
D0_0_3,[3]tgr_igr_bnc_buf,100,0.00059
D0_0_3,A0[2]agent_egr_buf,100,0.02332
D0_0_3,A0[3]agent_igr_bnc_buf,100,0.00208
D0_0_4,[0]tgr_egr_crd_buf,100,0.01633
D0_0_4,[3]tgr_egr_bnc_buf,100,0.00329
D0_0_4,[2]tgr_egr_bnc_buf,100,0.55866
D0_0_4,A1[0]agent_igr_crd_buf,100,0.00014
D0_0_4,[2]tgr_igr_crd_buf,100,0.01172
D0_0_4,[3]tgr_igr_bnc_buf,100,0.00354
D0_0_4,A0[2]agent_egr_buf,100,0.02457
D0_0_4,A1[3]agent_egr_buf,100,0.01957
D0_0_4,A1[4]agent_egr_buf,100,0.00978
D0_0_4,A0[3]agent_igr_bnc_buf,100,0.002
D0_0_4,A1[2]agent_igr_bnc_buf,100,0.04977
D0_0_5,[0]tgr_egr_crd_buf,100,0.00946
D0_0_5,[3]tgr_egr_bnc_buf,100,0.00193
D0_0_5,[2]tgr_egr_bnc_buf,100,0.50496
D0_0_5,[2]tgr_igr_crd_buf,100,0.01255
D0_0_5,[3]tgr_igr_bnc_buf,100,0.00118
D0_0_5,A0[0]agent_egr_buf,100,0.01533
D0_0_5,A0[3]agent_igr_bnc_buf,100,0.01575
D0_0_6,[0]tgr_egr_crd_buf,100,0.00195
D0_0_6,[3]tgr_egr_bnc_buf,100,0.0077
D0_0_6,[2]tgr_egr_bnc_buf,100,0.48171
D0_0_6,A1[0]agent_igr_crd_buf,100,0.00014
D0_0_6,[2]tgr_igr_crd_buf,100,0.01191
D0_0_6,[3]tgr_igr_bnc_buf,100,0.00472
D0_0_6,A0[2]agent_egr_buf,100,0.02394
D0_0_6,A1[3]agent_egr_buf,100,0.01466
D0_0_6,A1[4]agent_egr_buf,100,0.00854
D0_0_6,A0[3]agent_igr_bnc_buf,100,0.002
D0_0_6,A1[2]agent_igr_bnc_buf,100,0.00252
D0_0_7,[0]tgr_egr_crd_buf,100,0.01658
D0_0_7,[2]tgr_egr_bnc_buf,100,0.19914
D0_0_7,[2]tgr_igr_crd_buf,100,0.00016
D0_0_7,A0[3]agent_igr_bnc_buf,100,0.01575
D0_1_0,[0]tgr_egr_crd_buf,100,3e-05
D0_1_0,[3]tgr_egr_bnc_buf,100,0.00635
D0_1_0,[3]tgr_igr_bnc_buf,100,0.00236
D0_1_0,A0[3]agent_igr_bnc_buf,100,0.02835
D0_1_1,[3]tgr_egr_bnc_buf,100,0.00582
D0_1_1,[3]tgr_igr_bnc_buf,100,0.00472
D0_1_1,A0[2]agent_egr_buf,100,0.05425
D0_1_1,A0[3]agent_igr_bnc_buf,100,0.00368
D0_1_2,[0]tgr_egr_crd_buf,100,3e-05
